,fecha,provincia,v_muy_cortos,v_cortos,v_medios,v_largos,v_muy_largos,v_extra_largos,v_noche,v_madrugada,v_mañana,v_mediodia,v_sobremesa,v_tarde,v_km_muy_cortos,v_km_cortos,v_km_medios,v_km_largos,v_km_muy_largos,v_km_extra_largos,v_km_noche,v_km_madrugada,v_km_mañana,v_km_mediodia,v_km_sobremesa,v_km_tarde,cero_viajes,un_viaje,dos_viajes,mas_de_dos_viajes,num_casos,poblacion,altitud,tmed,prec,tmin,tmax,velmedia,sol,presMax,presMin,hr
30,2020-03-02,JAEN,609811506.0,287633898.0,338180667.0,569119683.0,51723443.0,51989989.0,105206639.0,190185507.0,408050266.0,462785935.0,454979589.0,287251250.0,709373338.0,909210982.0,2558221257.0,11462326105.0,3546319892.0,11299936460.0,1929477322.0,5094851295.0,7298100594.0,7113283836.0,6382434032.0,2667240955.0,430466379.0,48799349.0,188397004.0,278801105.0,0.0,633564,580,13.4,0.4,9.6,17.3,6.4,5.3,955.3,944.0,68.0
31,2020-03-02,LUGO,228727758.0,260093046.0,340582034.0,574681168.0,39765619.0,15370092.0,91612687.0,136801898.0,316650711.0,361310092.0,337626973.0,215217356.0,287768928.0,870083351.0,2513521817.0,11298704812.0,2719385628.0,3370432138.0,966940249.0,2614085213.0,5111940083.0,5235179579.0,4816726186.0,2315025364.0,165380173.0,23454940.0,100604075.0,228600698.0,0.0,329587,445,8.1,8.6,4.5,11.7,2.5,3.0,964.7,941.9,77.0
32,2020-03-02,MADRID,7374113037.0,4815888641.0,3549973682.0,4306428711.0,179001533.0,152984735.0,1305641527.0,2582090027.0,3999582269.0,4600423855.0,4882673605.0,3007979056.0,8663103549.0,15422085206.0,25470331479.0,83993237013.0,11398366992.0,51208186729.0,9524251102.0,35244859576.0,40994635591.0,43991468908.0,45683403866.0,20716691925.0,1679192266.0,280953956.0,671059688.0,3311468324.0,39.0,6663394,667,9.5,0.0,6.3,12.7,4.7,,939.8,923.9,54.0
33,2020-03-02,MALAGA,2134926157.0,1517265744.0,1061116925.0,1184472958.0,85623238.0,61198556.0,317909456.0,709412336.0,1282805437.0,1467736948.0,1435181284.0,831558117.0,2579405752.0,4861311529.0,7594632238.0,22585303819.0,5824438126.0,14595409520.0,2329046849.0,9239248289.0,13805491163.0,14078528570.0,13304606369.0,5283579744.0,608429160.0,75754636.0,390565420.0,917436568.0,1.0,1661785,5,20.2,0.0,14.3,26.0,5.6,6.5,1022.1,1013.5,80.0
34,2020-03-02,ORENSE,238811622.0,408249741.0,466548364.0,643182136.0,40453655.0,20333105.0,111758780.0,191142114.0,385427882.0,432557851.0,428391934.0,268300062.0,307542825.0,1400017070.0,3429448143.0,11846014503.0,2723637192.0,4677179588.0,1222637673.0,3168111731.0,5511394183.0,6141800794.0,5630705919.0,2709189021.0,200799555.0,28502310.0,104969233.0,308298506.0,0.0,307651,143,10.8,3.6,7.2,14.5,2.2,5.3,1000.9,979.1,62.0
35,2020-03-02,PALENCIA,146814343.0,210866488.0,426889567.0,1287419159.0,106208861.0,55689532.0,150019980.0,328238685.0,462960633.0,531119513.0,482028416.0,279520723.0,181539676.0,754225067.0,3212711414.0,26636996696.0,7186715342.0,11143530890.0,2528189921.0,8425262795.0,11770978086.0,11836775384.0,10037900859.0,4516612040.0,377957210.0,39228154.0,223591296.0,408323391.0,0.0,160980,830,6.4,2.2,1.7,11.1,1.7,9.1,921.4,900.0,66.0
36,2020-03-02,PONTEVEDRA,766522811.0,945401236.0,967246844.0,738306238.0,27657776.0,18291449.0,217762824.0,376496185.0,704188016.0,828143378.0,796639242.0,540196709.0,917149875.0,3197006403.0,6943211929.0,12757672159.0,1860772660.0,5368979665.0,1668196340.0,4699108765.0,7077301917.0,7429385835.0,6516304477.0,3654495357.0,226619664.0,27357635.0,176406717.0,405880278.0,0.0,942665,108,10.7,12.4,7.9,13.5,4.2,5.5,1005.5,984.5,66.0
37,2020-03-02,SALAMANCA,314384471.0,501651712.0,999494118.0,2294566574.0,195629319.0,136619525.0,264809226.0,553546794.0,982831279.0,1120604944.0,999938657.0,520614819.0,380869433.0,1785405911.0,7481530822.0,45130763228.0,12828560796.0,27973615947.0,4177778343.0,13857548136.0,24804561061.0,24387045439.0,20308935240.0,8044877918.0,740882555.0,77807739.0,347315559.0,656856189.0,1.0,330119,775,7.9,1.1,4.1,11.7,5.0,,930.7,913.4,66.0
38,2020-03-02,SEVILLA,2216596782.0,1402977217.0,932096595.0,1020581724.0,121183510.0,67852026.0,338338134.0,629047526.0,1113596396.0,1391169817.0,1369510229.0,919625752.0,2616421815.0,4577935380.0,6585973569.0,19721366324.0,8483611839.0,17229978244.0,2693364979.0,10424068654.0,12201348839.0,14568802988.0,13547112407.0,5780589304.0,660200073.0,87646204.0,420256838.0,945627396.0,0.0,1942389,34,16.8,0.0,12.1,21.6,7.8,7.8,1020.5,1009.6,75.0
39,2020-03-02,VALENCIA,3062491947.0,2669574165.0,2184072551.0,1902035642.0,318128300.0,105212336.0,501033496.0,1412968259.0,2185307659.0,2432236585.0,2377347471.0,1332621471.0,3520824403.0,8865641421.0,15602930738.0,36829856199.0,20663704038.0,27042337216.0,4583032945.0,20924259342.0,25942451763.0,26561579967.0,24156112934.0,10357857064.0,997468221.0,123996059.0,698267189.0,1606662021.0,1.0,2565124,56,14.2,0.0,7.5,21.0,13.6,8.6,1010.1,990.6,62.0
