,fecha,provincia,poblacion,num_casos
261,2020-03-13,LA_CORUÑA,1119596.0,24.0
262,2020-03-13,LUGO,329587.0,2.0
263,2020-03-13,MADRID,6663394.0,889.0
264,2020-03-13,MALAGA,1661785.0,60.0
265,2020-03-13,ORENSE,307651.0,3.0
266,2020-03-13,PALENCIA,160980.0,2.0
267,2020-03-13,PONTEVEDRA,942665.0,13.0
268,2020-03-13,SALAMANCA,330119.0,24.0
269,2020-03-13,SEVILLA,1942389.0,25.0
270,2020-03-13,VALENCIA,2565124.0,72.0
271,2020-03-13,ZAMORA,172539.0,1.0
272,2020-03-13,ZARAGOZA,964693.0,19.0
273,2020-03-14,ALICANTE,1858683.0,57.0
274,2020-03-14,ALMERIA,716820.0,2.0
275,2020-03-14,BADAJOZ,673559.0,9.0
276,2020-03-14,CADIZ,1240155.0,10.0
277,2020-03-14,CIUDAD_REAL,495761.0,12.0
278,2020-03-14,CORDOBA,782979.0,21.0
279,2020-03-14,GRANADA,914678.0,22.0
280,2020-03-14,HUELVA,521870.0,3.0
281,2020-03-14,JAEN,633564.0,6.0
282,2020-03-14,LA_CORUÑA,1119596.0,17.0
283,2020-03-14,LUGO,329587.0,2.0
284,2020-03-14,MADRID,6663394.0,899.0
285,2020-03-14,MALAGA,1661785.0,31.0
286,2020-03-14,ORENSE,307651.0,7.0
287,2020-03-14,PALENCIA,160980.0,1.0
288,2020-03-14,PONTEVEDRA,942665.0,17.0
289,2020-03-14,SALAMANCA,330119.0,7.0
290,2020-03-14,SEVILLA,1942389.0,28.0
291,2020-03-14,VALENCIA,2565124.0,64.0
292,2020-03-14,ZAMORA,172539.0,1.0
293,2020-03-14,ZARAGOZA,964693.0,33.0
294,2020-03-15,ALICANTE,1858683.0,49.0
295,2020-03-15,ALMERIA,716820.0,9.0
296,2020-03-15,BADAJOZ,673559.0,9.0
297,2020-03-15,CADIZ,1240155.0,13.0
298,2020-03-15,CIUDAD_REAL,495761.0,32.0
299,2020-03-15,CORDOBA,782979.0,31.0
300,2020-03-15,GRANADA,914678.0,18.0
301,2020-03-15,HUELVA,521870.0,1.0
302,2020-03-15,JAEN,633564.0,2.0
303,2020-03-15,LA_CORUÑA,1119596.0,32.0
304,2020-03-15,LUGO,329587.0,8.0
305,2020-03-15,MADRID,6663394.0,816.0
306,2020-03-15,MALAGA,1661785.0,71.0
307,2020-03-15,ORENSE,307651.0,6.0
308,2020-03-15,PALENCIA,160980.0,1.0
309,2020-03-15,PONTEVEDRA,942665.0,19.0
310,2020-03-15,SALAMANCA,330119.0,14.0
311,2020-03-15,SEVILLA,1942389.0,22.0
312,2020-03-15,VALENCIA,2565124.0,56.0
313,2020-03-15,ZAMORA,172539.0,4.0
